time_s,rate_mlhr
0.0,10
1.009,10
2.013,10
3.021,10
4.026,10
5.03,10
6.035,10
7.04,10
8.044,10
9.049,10
10.054,10
11.058,10
12.063,10
13.068,10
14.072,10
15.077,10
16.082,10
17.086,10
18.091,10
19.096,10
20.1,10
21.105,10
22.109,10
23.114,10
24.119,10
25.123,10
26.128,10
27.133,10
28.137,10
29.142,10
30.147,10
31.151,10
32.156,10
33.161,10
34.165,10
35.17,10
36.175,10
37.179,10
38.184,10
39.189,10
40.193,10
41.198,10
42.202,10
43.207,10
44.212,10
45.217,10
46.221,13
47.226,13
48.23,13
49.235,13
50.24,13
51.244,13
52.249,13
53.254,13
54.258,13
55.263,13
56.268,13
57.272,13
58.277,13
59.282,13
60.286,13
61.291,13
62.296,13
63.3,13
64.305,13
65.31,13
66.314,13
67.319,13
68.323,13
69.328,13
70.333,13
71.337,13
72.342,13
73.347,13
74.351,13
75.356,13
76.361,13
77.365,13
78.37,13
79.375,13
80.379,13
81.384,13
82.389,13
83.393,13
84.398,13
85.403,13
86.407,13
87.412,13
88.417,13
89.422,13
90.426,13
91.431,13
92.436,13
93.441,13
94.445,13
95.45,13
96.455,13
97.46,13
98.464,13
99.469,13
100.474,13
101.479,13
102.483,13
103.488,13
104.493,13
105.498,13
106.502,16
107.507,16
108.512,16
109.517,16
110.521,16
111.526,16
112.531,16
113.536,16
114.54,16
115.545,16
116.55,16
117.554,16
118.559,16
119.564,16
120.569,16
121.573,16
122.578,16
123.583,16
124.588,16
125.592,16
126.597,16
127.602,16
128.607,16
129.611,16
130.616,16
131.621,16
132.626,16
133.63,16
134.635,16
135.64,16
136.645,16
137.649,16
138.654,16
139.659,16
140.664,16
141.668,16
142.673,16
143.678,16
144.683,16
145.687,16
146.692,16
147.697,16
148.702,16
149.706,16
150.711,16
151.716,16
152.721,16
153.725,16
154.73,16
155.735,16
156.739,16
157.744,16
158.749,16
159.754,16
160.758,16
161.763,16
162.768,16
163.773,16
164.777,16
165.782,19
166.787,19
167.792,19
168.796,19
169.801,19
170.806,19
171.811,19
172.815,19
173.82,19
174.825,19
175.83,19
176.834,19
177.839,19
178.844,19
179.849,19
180.853,19
181.858,19
182.863,19
183.868,19
184.872,19
185.877,19
186.882,19
187.887,19
188.891,19
189.896,19
190.901,19
191.906,19
192.91,19
193.915,19
194.92,19
195.925,19
196.929,19
197.934,19
198.939,19
199.944,19
200.948,19
201.953,19
202.958,19
203.963,19
204.967,19
205.972,19
206.977,19
207.982,19
208.986,19
209.991,19
210.996,19
212.0,19
213.005,19
214.01,19
215.015,19
216.019,19
217.024,19
218.029,19
219.034,19
220.038,19
221.043,19
